id,Name,Brand channel,Subscribers (millions),Primary language,Category,Country
1,MrBeast,0,335,English,Entertainment,United States
2,T-Series,1,280,Hindi,Music,India
3,Cocomelon - Nursery Rhymes,1,186,English,Education,United States
4,SET India,1,180,Hindi,Entertainment,India
5,Vlad and Niki,0,129,English,Entertainment,Russia
6,Kids Diana Show,1,128,English,Entertainment,United States  Ukraine
7,Like Nastya,0,123,English,Entertainment,United States  Ukraine
8,Zee Music,1,112,Hindi,Music,India
9,PewDiePie,0,110,English,Entertainment,Sweden  Japan
10,WWE,1,105,English,Sports,United States
11,Goldmines,1,101,Hindi,Film,India
12,Stokes Twins,0,100,English,Entertainment,United States
13,Sony SAB,1,97.5,Hindi,Entertainment,India
14,Blackpink,0,95.3,Korean,Music,South Korea
15,ChuChu TV Nursery Rhymes & Kids Songs,1,94.2,Hindi,Education,India
16,Zee TV,1,86,Hindi,Entertainment,India
17,5-Minute Crafts,1,81.1,English,How-to,Cyprus[a]
18,BANGTANTV,0,79.4,Korean,Music,South Korea
19,Pinkfong,1,79.2,English,Education,South Korea
20,Colors TV,1,77.5,Hindi,Entertainment,India
21,Hybe Labels,1,76.2,Korean,Music,South Korea
22,Justin Bieber,0,74.4,English,Music,Canada
23,T-Series Bhakti Sagar,1,72.5,Hindi,Music,India
24,김프로KIMPRO,0,71.9,Korean,Entertainment,South Korea
25,UR · Cristia0,0,71.3,"Portuguese, English",Entertainment/Sports,Portugal
26,A4,0,71.1,Russian,Entertainment,Belarus
27,Tips Official,1,70.8,Hindi,Entertainment,India
28,Shemaroo Filmi Gaane,1,70.2,Hindi,Music,India
29,Alan Chikin Chow,0,69.2,English,Entertainment,United States
30,ZAMZAM ELECTRONICS TRADING,0,68.9,Arabic,Entertainment,United Arab Emirates
31,Aaj Tak,1,68.6,Hindi,News,India
32,Toys and Colors,0,67.9,English,Entertainment,United States
33,Canal KondZilla,1,67.5,Portuguese,Music,Brazil
34,El Rei0 Infantil,1,67,Spanish,Music,Argentina
35,Infobells - Hindi,1,66.6,Hindi,Education,India
36,Wave Music,1,63.6,Bhojpuri,Music,India
37,Eminem Music,0,63.2,English,Music,United States
38,YRF,1,62.8,Hindi,Music,India
39,Movieclips,1,62.8,English,Film,United States
40,Sony Music India,1,62.8,Hindi,Music,India
41,HAR PAL GEO,1,62.7,Urdu,Entertainment,Pakistan
42,KL BRO Biju Rithvik,0,62.2,Malayalam,Lifestyle Vlogs,India
43,Dude Perfect,0,60.6,English,Comedy,United States
44,Taylor Swift,0,60.4,English,Music,United States
45,Mark Rober,0,60.2,English,Education/Entertainment,United States
46,ARY Digital HD,1,59.7,Urdu,Entertainment,Pakistan
47,Fede Vigevani,0,59.4,Spanish,Entertainment,Mexico
48,LooLoo Kids,1,59.3,English,Music,Romania
49,BillionSurpriseToys,1,57.6,English,Entertainment,United States
50,Marshmello,0,57.5,English,Music,United States
